timestamp,ego_bbox,npc_bbox,npc_forward,ego_speed,waypoints,speed
43.315601874142885,"[[156.08090209960938, 48.227752685546875], [156.0811767578125, 48.22860336303711], [158.20433044433594, 48.37199020385742], [158.20460510253906, 48.372840881347656], [156.4130859375, 43.33734130859375], [156.41336059570312, 43.338191986083984], [158.53651428222656, 43.48157501220703], [158.5367889404297, 43.482425689697266]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.638365582733104,"[[1.6721338033676147, -0.002152778208255768], [3.561495542526245, -0.04291986674070358], [5.527636528015137, -0.0973796471953392], [7.5271100997924805, -0.15480831265449524]]",2.0
43.32041833177209,"[[155.9950714111328, 48.67353057861328], [155.99551391601562, 48.67340850830078], [158.11468505859375, 48.86578369140625], [158.11514282226562, 48.86566162109375], [156.43783569335938, 43.79188919067383], [156.4382781982422, 43.79176330566406], [158.55746459960938, 43.98413848876953], [158.5579071044922, 43.98401641845703]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.27847458905772,"[[1.5783439874649048, -0.024919144809246063], [3.4268016815185547, -0.09645751863718033], [5.376107215881348, -0.185996413230896], [7.367725372314453, -0.27946025133132935]]",2.5
43.32819626107812,"[[156.1454315185547, 48.19552993774414], [156.14588928222656, 48.1961669921875], [158.2675323486328, 48.35812759399414], [158.2679901123047, 48.3587646484375], [156.5198974609375, 43.30817413330078], [156.52037048339844, 43.308807373046875], [158.64199829101562, 43.470767974853516], [158.64247131347656, 43.471405029296875]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.500889083806208,"[[1.6952292919158936, -0.008654214441776276], [3.587961196899414, -0.07318342477083206], [5.548628807067871, -0.15150535106658936], [7.537782669067383, -0.2329426109790802]]",3.0
43.30838542804122,"[[156.0098419189453, 48.4498405456543], [156.01022338867188, 48.449310302734375], [158.13058471679688, 48.62936782836914], [158.13096618652344, 48.62883758544922], [156.42330932617188, 43.56562423706055], [156.42369079589844, 43.565093994140625], [158.54405212402344, 43.745155334472656], [158.54443359375, 43.744625091552734]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.2464476313423014,"[[1.5777435302734375, -0.018183499574661255], [3.4304656982421875, -0.07999533414840698], [5.384181976318359, -0.15855839848518372], [7.378961563110352, -0.24085941910743713]]",3.5
43.2722733579576,"[[156.06118774414062, 48.08965301513672], [156.06146240234375, 48.09043502807617], [158.18394470214844, 48.24355697631836], [158.18421936035156, 48.24433517456055], [156.41563415527344, 43.2008056640625], [156.41590881347656, 43.20158386230469], [158.53839111328125, 43.354705810546875], [158.5386505126953, 43.35548400878906]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.6317391305258298,"[[1.7059085369110107, -0.002824634313583374], [3.603447675704956, -0.04866766929626465], [5.566924095153809, -0.10815909504890442], [7.558300018310547, -0.17179708182811737]]",4.0
43.27356689050794,"[[156.06103515625, 48.12129592895508], [156.06134033203125, 48.12232971191406], [158.18370056152344, 48.27629470825195], [158.1840057373047, 48.27732849121094], [156.41799926757812, 43.232627868652344], [156.41830444335938, 43.233665466308594], [158.54067993164062, 43.38762664794922], [158.54098510742188, 43.3886604309082]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.733557407509444,"[[1.7174896001815796, -0.0026963353157043457], [3.6186797618865967, -0.05136573314666748], [5.582749366760254, -0.11335839331150055], [7.573968887329102, -0.17922727763652802]]",4.5
43.278368555009365,"[[156.14923095703125, 48.12854766845703], [156.14974975585938, 48.12972640991211], [158.27203369140625, 48.28182601928711], [158.27255249023438, 48.28300476074219], [156.5022430419922, 43.239593505859375], [156.5027618408203, 43.24077606201172], [158.6250457763672, 43.39287185668945], [158.6255645751953, 43.39405059814453]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.821042003123603,"[[1.7586051225662231, -0.0057748109102249146], [3.671186923980713, -0.06348404288291931], [5.633636474609375, -0.13309268653392792], [7.617799758911133, -0.20607982575893402]]",5.0
43.27440204843879,"[[156.07028198242188, 47.92510986328125], [156.07052612304688, 47.92548751831055], [158.19358825683594, 48.071006774902344], [158.19384765625, 48.071388244628906], [156.40628051757812, 43.03495788574219], [156.4065399169922, 43.035335540771484], [158.52960205078125, 43.18085479736328], [158.52984619140625, 43.18123245239258]]","[[162.8474884033203, 37.39450454711914], [162.83938598632812, 37.394500732421875], [162.84793090820312, 37.02198791503906], [162.83982849121094, 37.02198791503906], [161.20469665527344, 37.39252471923828], [161.19659423828125, 37.39252471923828], [161.20513916015625, 37.0200080871582], [161.19703674316406, 37.0200080871582]]","[-0.9999679923057556, -0.0012036500265821815]",3.480184279528204,"[[1.6937575340270996, -0.0022297725081443787], [3.591703414916992, -0.04337397962808609], [5.559937477111816, -0.09802236407995224], [7.5576066970825195, -0.15618184208869934]]",5.5
43.33898579701781,"[[156.0645751953125, 48.05095291137695], [156.06484985351562, 48.0516357421875], [158.18759155273438, 48.20118713378906], [158.1878662109375, 48.20186996459961], [156.4105682373047, 43.161495208740234], [156.4108428955078, 43.16217803955078], [158.53358459472656, 43.311729431152344], [158.5338592529297, 43.31241226196289]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.605361282555001,"[[1.7141908407211304, -0.002757832407951355], [3.615713119506836, -0.04749467968940735], [5.581330299377441, -0.10515166819095612], [7.574174880981445, -0.1664597988128662]]",6.0
43.325008518993855,"[[156.1606903076172, 48.02181625366211], [156.1610870361328, 48.022674560546875], [158.2835693359375, 48.174007415771484], [158.28395080566406, 48.17486572265625], [156.51121520996094, 43.13268280029297], [156.5115966796875, 43.13353729248047], [158.6340789794922, 43.284873962402344], [158.6344757080078, 43.28573226928711]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.5682024623683444,"[[1.6345068216323853, -0.011268571019172668], [3.510429859161377, -0.07066844403743744], [5.473027229309082, -0.14407533407211304], [7.470888137817383, -0.21914352476596832]]",6.5
43.29749201610685,"[[156.00177001953125, 48.51581954956055], [156.00218200683594, 48.516231536865234], [158.1220245361328, 48.70103073120117], [158.1224365234375, 48.70144271850586], [156.42831420898438, 43.63273239135742], [156.42874145507812, 43.63314437866211], [158.54856872558594, 43.81793975830078], [158.54898071289062, 43.818355560302734]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.4112729905387056,"[[1.5916130542755127, -0.02357429265975952], [3.4492006301879883, -0.08865669369697571], [5.404348373413086, -0.17091529071331024], [7.399747848510742, -0.2570059895515442]]",7.0
