timestamp,ego_bbox,npc_bbox,npc_forward,ego_speed,waypoints,speed
43.415601875633,"[[156.11410522460938, 47.86260223388672], [156.11434936523438, 47.863765716552734], [158.2387237548828, 47.98801803588867], [158.2389678955078, 47.98917770385742], [156.40293884277344, 42.96944046020508], [156.40318298339844, 42.97060012817383], [158.52757263183594, 43.094852447509766], [158.52780151367188, 43.096012115478516]]","[[162.8474884033203, 37.39450454711914], [162.83938598632812, 37.394500732421875], [162.84793090820312, 37.02198791503906], [162.83982849121094, 37.02198791503906], [161.20469665527344, 37.39252471923828], [161.19659423828125, 37.39252471923828], [161.20513916015625, 37.0200080871582], [161.19703674316406, 37.0200080871582]]","[-0.9999679923057556, -0.0012036500265821815]",3.8504867723868657,"[[1.7114351987838745, 0.0043587833642959595], [3.6135406494140625, -0.024293020367622375], [5.580077171325684, -0.06467443704605103], [7.573189735412598, -0.10817641019821167]]",2.0
43.420418333262205,"[[156.03469848632812, 48.35126495361328], [156.03501892089844, 48.351600646972656], [158.1562957763672, 48.5203742980957], [158.1566162109375, 48.52070999145508], [156.42416381835938, 43.46508026123047], [156.42449951171875, 43.465415954589844], [158.54576110839844, 43.63418960571289], [158.5460968017578, 43.634525299072266]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.4351779496648183,"[[1.6040750741958618, -0.014843009412288666], [3.4699208736419678, -0.07555785030126572], [5.4305830001831055, -0.1516287922859192], [7.429576873779297, -0.23037469387054443]]",2.5
43.42819626256824,"[[156.18234252929688, 47.846988677978516], [156.1826629638672, 47.847999572753906], [158.30606079101562, 47.9868278503418], [158.306396484375, 47.98783874511719], [156.50439453125, 42.95589828491211], [156.50473022460938, 42.9569091796875], [158.62811279296875, 43.09573745727539], [158.62844848632812, 43.09674835205078]]","[[162.8474884033203, 37.39450454711914], [162.83938598632812, 37.394500732421875], [162.84793090820312, 37.02198791503906], [162.83982849121094, 37.02198791503906], [161.20469665527344, 37.39252471923828], [161.19659423828125, 37.39252471923828], [161.20513916015625, 37.0200080871582], [161.19703674316406, 37.0200080871582]]","[-0.9999679923057556, -0.0012036500265821815]",3.709227660420467,"[[1.6389391422271729, -0.010840892791748047], [3.5206351280212402, -0.06077609211206436], [5.488636016845703, -0.12426099926233292], [7.491873741149902, -0.18907758593559265]]",3.0
43.408385429531336,"[[156.04531860351562, 48.13970947265625], [156.04556274414062, 48.13922882080078], [158.16770935058594, 48.2986946105957], [158.16793823242188, 48.29821014404297], [156.41146850585938, 43.25172424316406], [156.41171264648438, 43.25123977661133], [158.53384399414062, 43.41070556640625], [158.53408813476562, 43.410221099853516]]","[[162.85765075683594, 37.39452362060547], [162.85243225097656, 37.39451599121094], [162.8581085205078, 37.02200698852539], [162.85289001464844, 37.02199935913086], [161.21482849121094, 37.392520904541016], [161.20960998535156, 37.392513275146484], [161.2152862548828, 37.02000427246094], [161.21006774902344, 37.02000045776367]]","[-0.9999863505363464, -0.0012179770274087787]",3.2382538000220764,"[[1.5196465253829956, -0.010762907564640045], [3.3356122970581055, -0.05925152450799942], [5.266989231109619, -0.12189563363790512], [7.245044708251953, -0.18674084544181824]]",3.5
43.37227335944772,"[[156.09603881835938, 47.72544860839844], [156.09628295898438, 47.726558685302734], [158.22007751464844, 47.86048889160156], [158.22032165527344, 47.861602783203125], [156.40704345703125, 42.833641052246094], [156.4073028564453, 42.834754943847656], [158.5310821533203, 42.968685150146484], [158.53134155273438, 42.96979904174805]]","[[162.8046417236328, 37.39445495605469], [162.78955078125, 37.39444351196289], [162.8050994873047, 37.021942138671875], [162.7899932861328, 37.02193069458008], [161.1619873046875, 37.392478942871094], [161.14688110351562, 37.3924674987793], [161.1624298095703, 37.01996612548828], [161.1473388671875, 37.019954681396484]]","[-0.9998905062675476, -0.0012028416385874152]",3.843579002539941,"[[1.6939356327056885, 0.0033036917448043823], [3.5913243293762207, -0.030449271202087402], [5.558113098144531, -0.07704475522041321], [7.552811622619629, -0.12723655998706818]]",4.0
43.37356689199805,"[[156.09713745117188, 47.747230529785156], [156.09742736816406, 47.748504638671875], [158.22116088867188, 47.882568359375], [158.221435546875, 47.88384246826172], [156.40882873535156, 42.85546875], [156.40911865234375, 42.85674285888672], [158.53285217285156, 42.990806579589844], [158.53314208984375, 42.99208068847656]]","[[162.8474884033203, 37.39450454711914], [162.83938598632812, 37.394500732421875], [162.84793090820312, 37.02198791503906], [162.83982849121094, 37.02198791503906], [161.20469665527344, 37.39252471923828], [161.19659423828125, 37.39252471923828], [161.20513916015625, 37.0200080871582], [161.19703674316406, 37.0200080871582]]","[-0.9999679923057556, -0.0012036500265821815]",3.9416474757985647,"[[1.6875463724136353, 0.0010338053107261658], [3.584184169769287, -0.03757404536008835], [5.552939414978027, -0.08872862905263901], [7.551586151123047, -0.14226293563842773]]",4.5
43.37836855649948,"[[156.1871337890625, 47.748287200927734], [156.18753051757812, 47.74962615966797], [158.31149291992188, 47.878177642822266], [158.3118896484375, 47.8795166015625], [156.4862823486328, 42.855743408203125], [156.48667907714844, 42.85708236694336], [158.6106414794922, 42.985633850097656], [158.6110382080078, 42.98697280883789]]","[[162.8046417236328, 37.39445495605469], [162.78955078125, 37.39444351196289], [162.8050994873047, 37.021942138671875], [162.7899932861328, 37.02193069458008], [161.1619873046875, 37.392478942871094], [161.14688110351562, 37.3924674987793], [161.1624298095703, 37.01996612548828], [161.1473388671875, 37.019954681396484]]","[-0.9998905062675476, -0.0012028416385874152]",4.019912309211684,"[[1.6963658332824707, 0.002101913094520569], [3.5955190658569336, -0.03749886155128479], [5.563327789306641, -0.08919018507003784], [7.5588274002075195, -0.1433122605085373]]",5.0
43.3744020499289,"[[156.10218811035156, 47.57612609863281], [156.1024169921875, 47.57694625854492], [158.22665405273438, 47.704288482666016], [158.2268829345703, 47.705108642578125], [156.39735412597656, 42.6833381652832], [156.3975830078125, 42.68415832519531], [158.52182006835938, 42.811500549316406], [158.5220489501953, 42.812320709228516]]","[[162.73828125, 37.39436721801758], [162.71890258789062, 37.39434814453125], [162.7387237548828, 37.0218505859375], [162.71934509277344, 37.02183151245117], [161.09573364257812, 37.392398834228516], [161.07635498046875, 37.39237976074219], [161.09617614746094, 37.0198860168457], [161.07679748535156, 37.019866943359375]]","[-0.9998201131820679, -0.001197751029394567]",3.678272978516278,"[[1.7428786754608154, 0.005145713686943054], [3.656381607055664, -0.021306827664375305], [5.625207901000977, -0.05995675176382065], [7.6163330078125, -0.1030026525259018]]",5.5
43.43898579850793,"[[156.09848022460938, 47.68937683105469], [156.09873962402344, 47.69042205810547], [158.2227325439453, 47.82099914550781], [158.22299194335938, 47.822044372558594], [156.40162658691406, 42.79707717895508], [156.40188598632812, 42.79812240600586], [158.52587890625, 42.9286994934082], [158.526123046875, 42.929744720458984]]","[[162.8046417236328, 37.39445495605469], [162.78955078125, 37.39444351196289], [162.8050994873047, 37.021942138671875], [162.7899932861328, 37.02193069458008], [161.1619873046875, 37.392478942871094], [161.14688110351562, 37.3924674987793], [161.1624298095703, 37.01996612548828], [161.1473388671875, 37.019954681396484]]","[-0.9998905062675476, -0.0012028416385874152]",3.8139243843829904,"[[1.6844830513000488, 0.003305204212665558], [3.579209804534912, -0.02779173105955124], [5.546576499938965, -0.07155600935220718], [7.543347358703613, -0.11844147741794586]]",6.0
43.42500852048397,"[[156.19590759277344, 47.66513442993164], [156.19627380371094, 47.66631317138672], [158.32022094726562, 47.79581832885742], [158.32057189941406, 47.7969970703125], [156.49688720703125, 42.772701263427734], [156.4972381591797, 42.77388000488281], [158.62118530273438, 42.903385162353516], [158.62155151367188, 42.904563903808594]]","[[162.8046417236328, 37.39445495605469], [162.78955078125, 37.39444351196289], [162.8050994873047, 37.021942138671875], [162.7899932861328, 37.02193069458008], [161.1619873046875, 37.392478942871094], [161.14688110351562, 37.3924674987793], [161.1624298095703, 37.01996612548828], [161.1473388671875, 37.019954681396484]]","[-0.9998905062675476, -0.0012028416385874152]",3.7848384463326217,"[[1.7559305429458618, -7.72327184677124e-05], [3.6718430519104004, -0.039809450507164], [5.6388444900512695, -0.09106028079986572], [7.627096176147461, -0.14590124785900116]]",6.5
