speed,timestamp,waypoints,ego_bbox,npc_bbox,npc_forward
2.0,43.37139310315251,"[[56.33743627259402, -155.40465838748398], [56.42837286986564, -157.2669792080588], [56.51187895630959, -159.2328539348322], [56.59529377109928, -161.24014775367263]]","[[156.07879638671875, 47.968048095703125], [158.2021484375, 48.11349105834961], [156.41375732421875, 43.077823638916016], [158.537109375, 43.2232666015625]]","[[161.58740234375, 37.39288330078125], [161.58782958984375, 37.02036666870117], [159.944580078125, 37.391056060791016], [159.9449920654297, 37.01853942871094]]","[-0.9999944567680359, -0.001111891120672226]"
2.0,43.47139310464263,"[[54.77989583220577, -156.0033044855729], [54.87209235805635, -157.90357967759547], [54.9563086585772, -159.8711944922723], [55.037749953533236, -161.8647628462439]]","[[156.10888671875, 47.639739990234375], [158.2333221435547, 47.768211364746094], [156.40475463867188, 42.74699401855469], [158.52920532226562, 42.875465393066406]]","[[161.4202880859375, 37.39269256591797], [161.4644775390625, 37.39283752441406], [161.42068481445312, 37.02017593383789], [161.4648895263672, 37.020320892333984]]","[-0.9990673065185547, -0.001085373223759234]"
2.0,43.571393106132746,"[[53.31106933581164, -156.37620172303926], [53.398813476363046, -158.2626188481918], [53.47871169328354, -160.23077620788456], [53.557319908183494, -162.23166735145017]]","[[156.13668823242188, 47.29204177856445], [158.26199340820312, 47.40529251098633], [156.39752197265625, 42.397300720214844], [158.5228271484375, 42.510555267333984]]","[[161.2801971435547, 37.39255905151367], [161.28060913085938, 37.020042419433594], [159.63735961914062, 37.390716552734375], [159.63778686523438, 37.0181999206543]]","[-0.9999930262565613, -0.0011216646526008844]"
2.0,43.67139310762286,"[[51.994141403532026, -156.85341163516927], [52.08819369437967, -158.7783285356335], [52.17270258953482, -160.74537666940165], [52.25116762250356, -162.72744563422538]]","[[156.16212463378906, 46.92249298095703], [158.2880859375, 47.02281188964844], [156.39317321777344, 42.0262565612793], [158.51913452148438, 42.1265754699707]]","[[161.11875915527344, 37.39189529418945], [161.02572631835938, 37.39192581176758], [161.11895751953125, 37.019378662109375], [161.0259246826172, 37.0194091796875]]","[-0.9958640336990356, -0.0005433959886431694]"
2.0,43.77139310911298,"[[50.780509377345474, -157.18849285563638], [50.8772849133119, -159.1253037436014], [50.962700475533794, -161.09227542777919], [51.039607783415356, -163.06803242801095]]","[[156.18544006347656, 46.533241271972656], [158.3118896484375, 46.62240219116211], [156.39077758789062, 41.6358642578125], [158.51722717285156, 41.72502136230469]]","[[160.91790771484375, 37.391815185546875], [160.80691528320312, 37.391788482666016], [160.9181671142578, 37.0192985534668], [160.8071746826172, 37.01927185058594]]","[-0.9941072463989258, -0.0007190125761553645]"
2.0,43.871393110603094,"[[49.712265598233444, -157.5289556427065], [49.807636483550226, -159.49048974452305], [49.89394201036547, -161.44798802580993], [49.969387198973756, -163.39624632283244]]","[[156.20608520507812, 46.13529968261719], [158.33290100097656, 46.21548843383789], [156.39076232910156, 41.237098693847656], [158.517578125, 41.317283630371094]]","[[160.71902465820312, 37.3917350769043], [160.6060333251953, 37.39168167114258], [160.71932983398438, 37.01921844482422], [160.60633850097656, 37.0191650390625]]","[-0.9938921928405762, -0.0008444471750408411]"
2.0,43.97139311209321,"[[48.804748202961235, -157.65101198988663], [48.91736155054281, -159.39162392940568], [48.99410531813909, -160.86963844483734], [49.023683690288436, -162.06623206432332]]","[[156.22402954101562, 45.74440383911133], [158.35108947753906, 45.8173828125], [156.39210510253906, 40.845603942871094], [158.51918029785156, 40.918582916259766]]","[[160.5529327392578, 37.391693115234375], [160.42506408691406, 37.391075134277344], [160.55328369140625, 37.0191764831543], [160.42543029785156, 37.018558502197266]]","[-0.9921715259552002, -0.0008910053875297308]"
2.0,44.071393113583326,"[[47.97088295124041, -157.900694476246], [48.07243510565342, -159.2964644872108], [48.102629721397484, -159.9709960847802], [48.098581456907745, -160.26885980502038]]","[[156.23944091796875, 45.36860275268555], [158.36669921875, 45.43587875366211], [156.39437866210938, 40.4693717956543], [158.5216522216797, 40.53664779663086]]","[[160.3959197998047, 37.39140319824219], [160.2580108642578, 37.390296936035156], [160.3962860107422, 37.01888656616211], [160.25839233398438, 37.01778030395508]]","[-0.9908883571624756, -0.0008643383625894785]"
2.0,44.17139311507344,"[[47.322782879982434, -157.8536932819112], [47.40005559945959, -158.97697186976504], [47.43013952000501, -159.50886927740737], [47.437484011540995, -159.7724482414654]]","[[156.25198364257812, 45.02240753173828], [158.3793487548828, 45.086124420166016], [156.3987274169922, 40.1229248046875], [158.52609252929688, 40.18663787841797]]","[[160.23435974121094, 37.390541076660156], [160.17684936523438, 37.390140533447266], [160.23451232910156, 37.01802444458008], [160.177001953125, 37.01762390136719]]","[-0.9984216690063477, -0.00039672921411693096]"
2.0,44.27139311656356,"[[46.83141449623468, -157.7952847863882], [46.899691649937594, -158.82307102021932], [46.92975967947333, -159.34368291824447], [46.939763410393766, -159.63018200539014]]","[[156.261962890625, 44.726905822753906], [158.389404296875, 44.78813934326172], [156.40298461914062, 39.8272590637207], [158.53042602539062, 39.88848876953125]]","[[160.05819702148438, 37.39055633544922], [160.03794860839844, 37.39079284667969], [160.05831909179688, 37.01803970336914], [160.03807067871094, 37.01827621459961]]","[-0.9998042583465576, -0.0003503193147480488]"
