timestamp,speed,ego_bbox,waypoints,npc_bbox,npc_forward
45.5,9.0,"[[156.4786376953125, 41.883235931396484], [156.4761962890625, 41.88737106323242], [158.60498046875, 41.791595458984375], [158.6025390625, 41.79573059082031], [156.26756286621094, 36.986114501953125], [156.26512145996094, 36.99024963378906], [158.39390563964844, 36.894474029541016], [158.39146423339844, 36.89861297607422]]","[[1.5877389907836914, 0.11855310201644897], [3.4663143157958984, 0.3273521065711975], [5.455323219299316, 0.5135185718536377], [7.494206428527832, 0.6853235363960266]]","[[156.59930419921875, 37.306846618652344], [156.57614135742188, 37.314666748046875], [156.49371337890625, 36.949607849121094], [156.4705352783203, 36.957427978515625], [155.02427673339844, 37.77236557006836], [155.00111389160156, 37.78018569946289], [154.91868591308594, 37.41512680053711], [154.89552307128906, 37.42294692993164]]","[-0.9587161540985107, 0.28336191177368164]"
45.5,11.5,"[[156.44338989257812, 42.119850158691406], [156.43963623046875, 42.13840866088867], [158.56707763671875, 41.9795036315918], [158.56332397460938, 41.9980583190918], [156.11997985839844, 37.22920608520508], [156.11624145507812, 37.247764587402344], [158.24366760253906, 37.08885955810547], [158.2399139404297, 37.107418060302734]]","[[1.876694917678833, 0.18551059067249298], [3.8212172985076904, 0.4573003053665161], [5.7973737716674805, 0.6926981210708618], [7.803947448730469, 0.906374454498291]]","[[156.7035369873047, 37.3383674621582], [156.588623046875, 37.07974624633789], [156.66444396972656, 36.981224060058594], [156.54953002929688, 36.722599029541016], [155.0802001953125, 37.552738189697266], [154.9652862548828, 37.29411697387695], [155.04110717773438, 37.195594787597656], [154.9261932373047, 36.93696975708008]]","[-0.9881274104118347, 0.13048720359802246]"
45.5,12.5,"[[156.46131896972656, 42.04750442504883], [156.46099853515625, 42.04865264892578], [158.5887908935547, 41.986907958984375], [158.58847045898438, 41.988059997558594], [156.32176208496094, 37.14780807495117], [156.32144165039062, 37.14896011352539], [158.44923400878906, 37.08721160888672], [158.4488983154297, 37.08836364746094]]","[[1.6003687381744385, 0.10187860578298569], [3.471863269805908, 0.267098069190979], [5.448385238647461, 0.41308706998825073], [7.470887184143066, 0.5482339859008789]]","[[157.16183471679688, 37.23784255981445], [156.94686889648438, 36.47890853881836], [157.13621520996094, 36.99968719482422], [156.92124938964844, 36.240753173828125], [155.5595703125, 37.57402801513672], [155.34461975097656, 36.81509780883789], [155.53395080566406, 37.335872650146484], [155.31900024414062, 36.576942443847656]]","[-0.9752920269966125, 0.20463809370994568]"
45.5,13.5,"[[156.63755798339844, 42.32432556152344], [156.6356201171875, 42.3448600769043], [158.73463439941406, 41.961002349853516], [158.73268127441406, 41.981536865234375], [155.80064392089844, 37.49504852294922], [155.79869079589844, 37.515586853027344], [157.89772033691406, 37.13172912597656], [157.89576721191406, 37.15226364135742]]","[[1.6912606954574585, 0.2828606367111206], [3.549696445465088, 0.7707244157791138], [5.486844062805176, 1.237133502960205], [7.4724531173706055, 1.693671464920044]]","[[156.7414093017578, 37.44253921508789], [156.56736755371094, 37.193050384521484], [156.70762634277344, 37.08456039428711], [156.53359985351562, 36.8350715637207], [155.12933349609375, 37.657752990722656], [154.95530700683594, 37.40826416015625], [155.09556579589844, 37.29977798461914], [154.92152404785156, 37.05028533935547]]","[-0.9812689423561096, 0.13100139796733856]"
45.5,14.0,"[[156.5045623779297, 42.3433837890625], [156.49705505371094, 42.351680755615234], [158.62942504882812, 42.222618103027344], [158.62191772460938, 42.23091506958008], [156.22628784179688, 37.44967269897461], [156.21878051757812, 37.457969665527344], [158.3511505126953, 37.32890319824219], [158.34364318847656, 37.33720397949219]]","[[1.911488652229309, 0.14667250216007233], [3.863187789916992, 0.3763246536254883], [5.832788467407227, 0.579752504825592], [7.822065353393555, 0.767509937286377]]","[[157.44082641601562, 37.402259826660156], [157.2556610107422, 37.06827926635742], [157.43621826171875, 37.0511360168457], [157.25106811523438, 36.71715545654297], [155.8251953125, 37.5202522277832], [155.64002990722656, 37.186275482177734], [155.82058715820312, 37.16912841796875], [155.63543701171875, 36.83515167236328]]","[-0.9834356904029846, 0.07182300835847855]"
